Postcode;PercentageTrees;PercentageBushes;PercentageGrass
2582;19,84;11,33;26,94
2583;22,60;13,44;56,40
2584;26,46;10,39;30,79
2585;48,52;11,56;29,53
2586;17,34;12,26;61,29
2587;35,01;11,41;35,69
2591;27,98;8,99;47,16
2592;33,38;8,72;46,05
2593;20,23;11,07;36,49
2594;55,06;9,08;29,64
2595;20,12;9,87;33,19
2596;37,20;10,07;34,23
2597;35,49;13,57;47,56
2611;26,87;8,91;27,61
2612;28,99;9,24;39,65
2613;25,07;10,18;38,13
2614;23,14;8,39;39,37
2616;48,29;9,95;44,31
2622;20,68;10,04;45,41
2623;29,97;11,49;49,56
2624;34,19;8,59;36,82
2625;36,57;9,51;42,88
2626;35,55;11,82;67,09
2627;38,24;11,93;46,77
2628;32,71;8,44;37,34
2629;31,60;11,01;58,92
2631;20,81;9,96;55,98
2632;12,34;7,77;48,23
2635;15,35;8,77;51,01
2636;21,77;9,02;65,48
2641;32,62;11,32;55,47
2642;15,41;8,55;51,97
2643;11,66;5,80;47,34
2645;29,55;10,52;55,75
2651;17,97;8,48;57,09
2652;7,99;6,29;50,41
2661;30,47;9,50;53,77
2662;7,86;6,21;53,60
2665;22,62;8,67;53,86
2671;19,51;8,96;42,92
2672;12,51;7,63;32,50
2673;9,31;6,40;34,49
2675;17,43;8,89;41,56
2676;19,19;7,53;45,26
2678;19,05;7,87;42,63
2681;19,92;10,36;58,94
2684;6,69;7,46;44,38
2685;15,49;8,15;41,24
2691;30,22;9,95;45,47
2692;13,17;8,17;31,81
2693;13,74;7,47;46,95
2694;6,93;6,26;34,43
2711;20,15;7,85;41,61
2712;24,27;9,09;43,56
2713;28,34;9,63;46,79
2715;31,04;9,68;47,55
2716;40,29;10,63;58,44
2717;28,19;11,11;60,15
2718;19,37;8,16;46,61
2719;22,71;9,88;48,39
2721;8,80;7,75;55,45
2722;32,34;9,56;49,39
2723;25,22;9,48;50,06
2724;25,07;10,38;45,07
2725;26,56;11,07;51,46
2726;26,33;10,94;47,38
2727;24,40;10,42;49,84
2728;14,04;8,43;58,53
2729;11,18;7,84;51,67
2731;21,35;14,11;76,77
2735;18,33;7,45;62,00
2741;24,25;8,99;49,36
2742;21,59;9,41;63,26
2743;16,54;7,82;41,41
2751;18,99;8,13;52,41
2752;11,97;8,01;52,18
2761;25,23;8,83;61,55
2771;17,43;10,52;50,62
2801;25,41;9,53;33,17
2802;18,15;7,11;36,66
